Number	Offset	Address		Size	Type	String
16412	0039fa80	0079fa80	Section(1)['.rdata']	0e	A	Not a BMP file
16413	0039fa94	0079fa94	Section(1)['.rdata']	1f	A	Unexpected number6 of channels.
16414	0039fab4	0079fab4	Section(1)['.rdata']	22	A	Unsupported PNG bit-depth or type.
16415	0039fad8	0079fad8	Section(1)['.rdata']	37	A	Unsupported PNG color type - PNG_COLOR_TYPE_GRAY_ALPHA.
16416	0039fb10	0079fb10	Section(1)['.rdata']	21	A	Unable to initialize PNG decoder.
16417	0039fb67	0079fb67	Section(1)['.rdata']	16	A	?PCX file is corrupted
16418	0039fb80	0079fb80	Section(1)['.rdata']	33	A	Only 8-bit paletted and 24-bit PCX files supported.
16419	0039fbb4	0079fbb4	Section(1)['.rdata']	1a	A	Unsupported PCX file type.
16420	0039fbd0	0079fbd0	Section(1)['.rdata']	42	A	Warning: Corrupted PCX file (palette marker byte was missing) "%s"
16421	0039fc13	0079fc13	Section(1)['.rdata']	0e	A	Loading anyway
16422	0039fc25	0079fc25	Section(1)['.rdata']	15	A	*********************
16423	0039fc4e	0079fc4e	Section(1)['.rdata']	27	A	"@Bad number of channels in input image
16424	0039fc78	0079fc78	Section(1)['.rdata']	0a	A	%d %d %d%c
16425	0039fc87	0079fc87	Section(1)['.rdata']	05	A	%d %d
16426	0039fc94	0079fc94	Section(1)['.rdata']	13	A	Invalid PPM Header.
16427	0039fca8	0079fca8	Section(1)['.rdata']	1b	A	Invalid PPM size in header.
16428	0039fcc4	0079fcc4	Section(1)['.rdata']	0f	A	File not found.
16429	0039fcdf	0079fcdf	Section(1)['.rdata']	1d	A	?Unsupported ICO color count.
16430	0039fd2e	0079fd2e	Section(1)['.rdata']	06	A	f@(-DT
16431	0039fd5f	0079fd5f	Section(1)['.rdata']	0c	A	>! inBetween
16432	0039fd6c	0079fd6c	Section(1)['.rdata']	16	A	.\g3dcpp\Stopwatch.cpp
16433	0039fd84	0079fd84	Section(1)['.rdata']	28	A	Stopwatch::tick() called twice in a row.
16434	0039fdb0	0079fdb0	Section(1)['.rdata']	09	A	inBetween
16435	0039fdbc	0079fdbc	Section(1)['.rdata']	2f	A	Stopwatch::tock() called without matching tick.
16436	0039fe1f	0079fe1f	Section(1)['.rdata']	07	A	?ffffff
16437	0039fe40	0079fe40	Section(1)['.rdata']	5d	A	Out of memory while writing to disk in BinaryOutput (could not create a large enough buffer).
16438	0039fea0	0079fea0	Section(1)['.rdata']	44	A	Out of memory while writing to memory in BinaryOutput (no RAM left).
16439	0039fee8	0079fee8	Section(1)['.rdata']	08	A	<memory>
16440	003a0042	007a0042	Section(1)['.rdata']	05	A	j-=m
16441	003a0051	007a0051	Section(1)['.rdata']	07	A	Qkkbal
16442	003a02ad	007a02ad	Section(1)['.rdata']	05	A	wn>Jj
16443	003a0377	007a0377	Section(1)['.rdata']	16	A	>HKEY_PERFORMANCE_TEXT
16444	003a0390	007a0390	Section(1)['.rdata']	18	A	HKEY_PERFORMANCE_NLSTEXT
16445	003a03cf	007a03cf	Section(1)['.rdata']	05	A	>333?
16446	003a0400	007a0400	Section(1)['.rdata']	41	A	Tried to read a larger memory chunk than could fit in memory. (2)
16447	003a044c	007a044c	Section(1)['.rdata']	14	A	File not found: "%s"
16448	003a0464	007a0464	Section(1)['.rdata']	2e	A	Not enough memory to load compressed file. (2)
16449	003a0494	007a0494	Section(1)['.rdata']	2e	A	Not enough memory to load compressed file. (1)
16450	003a04d8	007a04d8	Section(1)['.rdata']	09	A	-1.#INF00
16451	003a04e4	007a04e4	Section(1)['.rdata']	08	A	1.#INF00
16452	003a04f0	007a04f0	Section(1)['.rdata']	09	A	-1.#IND00
16453	003a0504	007a0504	Section(1)['.rdata']	09	A	%s(%d) : 
16454	003a0510	007a0510	Section(1)['.rdata']	0a	A	Token::END
16455	003a051c	007a051c	Section(1)['.rdata']	0d	A	Token::NUMBER
16456	003a052c	007a052c	Section(1)['.rdata']	0d	A	Token::STRING
16457	003a053c	007a053c	Section(1)['.rdata']	0d	A	Token::SYMBOL
16458	003a054c	007a054c	Section(1)['.rdata']	29	A	Expected token of type %s, found type %s.
16459	003a0588	007a0588	Section(1)['.rdata']	28	A	Expected symbol '%s', found symbol '%s'.
16460	003a05bc	007a05bc	Section(1)['.rdata']	34	A	Incorrect floating-point special (inf ornan) format.
16461	003a05fc	007a05fc	Section(1)['.rdata']	35	A	Incorrect floating-point special (inf or nan) format.
16462	003a064f	007a064f	Section(1)['.rdata']	05	A	>(-DT
16463	003a06a7	007a06a7	Section(1)['.rdata']	19	A	>Sphere(<%g, %g, %g>, %g)
16464	003a06cc	007a06cc	Section(1)['.rdata']	0b	A	Courier New
16465	003a06d9	007a06d9	Section(1)['.rdata']	10	A	Press any key...
16466	003a06ed	007a06ed	Section(1)['.rdata']	19	A	Press any key for '%s'...
16467	003a0708	007a0708	Section(1)['.rdata']	1b	A	'%d' is not a valid choice.
16468	003a0728	007a0728	Section(1)['.rdata']	09	A	  (%d) %s
16469	003a0734	007a0734	Section(1)['.rdata']	0a	A	  (%d) %s 
16470	003a0740	007a0740	Section(1)['.rdata']	1b	A	Choose an option by number:
16471	003a075d	007a075d	Section(1)['.rdata']	33	A	___________________________________________________
16472	003a079c	007a079c	Section(1)['.rdata']	06	A	Tahoma
16473	003a07a4	007a07a4	Section(1)['.rdata']	30	A	MNG features are not allowed in a PNG datastream
16474	003a07d8	007a07d8	Section(1)['.rdata']	22	A	Unable to write international text
16475	003a07fc	007a07fc	Section(1)['.rdata']	2a	A	Valid palette required for paletted images
16476	003a0828	007a0828	Section(1)['.rdata']	1a	A	No IDATs written into file
16477	003a0844	007a0844	Section(1)['.rdata']	35	A	png_write_info was never called before png_write_row.
16478	003a087c	007a087c	Section(1)['.rdata']	0a	A	zlib error
16479	003a088e	007a088e	Section(1)['.rdata']	21	A	 @Unknown filter heuristic method
16480	003a08b0	007a08b0	Section(1)['.rdata']	36	A	Incompatible libpng version in application and library
16481	003a08e8	007a08e8	Section(1)['.rdata']	35	A	Application  is  running with png.c from libpng-%.20s
16482	003a0920	007a0920	Section(1)['.rdata']	35	A	Application was compiled with png.h from libpng-%.20s
16483	003a0958	007a0958	Section(1)['.rdata']	33	A	Ignoring attempt to set negative chromaticity value
16484	003a098c	007a098c	Section(1)['.rdata']	3d	A	Ignoring attempt to set chromaticity value exceeding 21474.83
16485	003a09e7	007a09e7	Section(1)['.rdata']	10	A	ASetting gamma=0
16486	003a09f8	007a09f8	Section(1)['.rdata']	1a	A	Limiting gamma to 21474.83
16487	003a0a14	007a0a14	Section(1)['.rdata']	1e	A	Setting negative gamma to zero
16488	003a0a34	007a0a34	Section(1)['.rdata']	28	A	Insufficient memory for hIST chunk data.
16489	003a0a60	007a0a60	Section(1)['.rdata']	28	A	Palette size 0, hIST allocation skipped.
16490	003a0a8c	007a0a8c	Section(1)['.rdata']	1d	A	Invalid filter method in IHDR
16491	003a0aac	007a0aac	Section(1)['.rdata']	1d	A	Unknown filter method in IHDR
16492	003a0acc	007a0acc	Section(1)['.rdata']	22	A	Unknown compression method in IHDR
16493	003a0af0	007a0af0	Section(1)['.rdata']	20	A	Unknown interlace method in IHDR
16494	003a0b14	007a0b14	Section(1)['.rdata']	30	A	Invalid color type/bit depth combination in IHDR
16495	003a0b48	007a0b48	Section(1)['.rdata']	1a	A	Invalid color type in IHDR
16496	003a0b64	007a0b64	Section(1)['.rdata']	19	A	Invalid bit depth in IHDR
16497	003a0b80	007a0b80	Section(1)['.rdata']	2f	A	Width is too large for libpng to process pixels
16498	003a0bb0	007a0bb0	Section(1)['.rdata']	1a	A	Invalid image size in IHDR
16499	003a0bcc	007a0bcc	Section(1)['.rdata']	26	A	image size exceeds user limits in IHDR
16500	003a0bf4	007a0bf4	Section(1)['.rdata']	25	A	Image width or height is zero in IHDR
16501	003a0c1c	007a0c1c	Section(1)['.rdata']	27	A	Insufficient memory for pCAL parameter.
16502	003a0c44	007a0c44	Section(1)['.rdata']	24	A	Insufficient memory for pCAL params.
16503	003a0c6c	007a0c6c	Section(1)['.rdata']	23	A	Insufficient memory for pCAL units.
16504	003a0c90	007a0c90	Section(1)['.rdata']	25	A	Insufficient memory for pCAL purpose.
16505	003a0cf7	007a0cf7	Section(1)['.rdata']	2d	A	?Insufficient memory to process iCCP profile.
16506	003a0d28	007a0d28	Section(1)['.rdata']	2a	A	Insufficient memory to process iCCP chunk.
16507	003a0d54	007a0d54	Section(1)['.rdata']	19	A	iTXt chunk not supported.
16508	003a0d70	007a0d70	Section(1)['.rdata']	1c	A	No memory for sPLT palettes.
16509	003a0d90	007a0d90	Section(1)['.rdata']	27	A	Out of memory processing unknown chunk.
16510	003a0db8	007a0db8	Section(1)['.rdata']	2d	A	Out of memory while processing unknown chunk.
16511	003a0de8	007a0de8	Section(1)['.rdata']	1b	A	Call to NULL write function
16512	003a0e04	007a0e04	Section(1)['.rdata']	0b	A	Write Error
16513	003a0e10	007a0e10	Section(1)['.rdata']	34	A	the same structure.  Resetting read_data_fn to NULL.
16514	003a0e48	007a0e48	Section(1)['.rdata']	37	A	Attempted to set both read_data_fn and write_data_fn in
16515	003a0e80	007a0e80	Section(1)['.rdata']	05	A	1.2.7
16516	003a101c	007a101c	Section(1)['.rdata']	21	A	Too many bytes for PNG signature.
16517	003a1040	007a1040	Section(1)['.rdata']	22	A	Potential overflow in png_zalloc()
16518	003a1064	007a1064	Section(1)['.rdata']	2a	A	Application transferred too many scanlines
16519	003a1090	007a1090	Section(1)['.rdata']	2a	A	Invalid SOS parameters for sequential JPEG
16520	003a10bc	007a10bc	Section(1)['.rdata']	37	A	Corrupt JPEG data: found marker 0x%02x instead of RST%d
16521	003a10f4	007a10f4	Section(1)['.rdata']	1a	A	Premature end of JPEG file
16522	003a1110	007a1110	Section(1)['.rdata']	2d	A	Warning: unknown JFIF revision number %d.%02d
16523	003a1140	007a1140	Section(1)['.rdata']	23	A	Corrupt JPEG data: bad Huffman code
16524	003a1164	007a1164	Section(1)['.rdata']	30	A	Corrupt JPEG data: premature end of data segment
16525	003a1198	007a1198	Section(1)['.rdata']	3b	A	Corrupt JPEG data: %u extraneous bytes before marker 0x%02x
16526	003a11d8	007a11d8	Section(1)['.rdata']	41	A	Inconsistent progression sequence for component %d coefficient %d
16527	003a121c	007a121c	Section(1)['.rdata']	25	A	Unknown Adobe color transform code %d
16528	003a1244	007a1244	Section(1)['.rdata']	16	A	Obtained XMS handle %u
16529	003a125c	007a125c	Section(1)['.rdata']	13	A	Freed XMS handle %u
16530	003a1270	007a1270	Section(1)['.rdata']	33	A	Unrecognized component IDs %d %d %d, assuming YCbCr
16531	003a12a4	007a12a4	Section(1)['.rdata']	35	A	JFIF extension marker: RGB thumbnail image, length %u
16532	003a12dc	007a12dc	Section(1)['.rdata']	39	A	JFIF extension marker: palette thumbnail image, length %u
16533	003a1318	007a1318	Section(1)['.rdata']	41	A	JFIF extension marker: JPEG-compressed thumbnail image, length %u
16534	003a135c	007a135c	Section(1)['.rdata']	18	A	Opened temporary file %s
16535	003a1378	007a1378	Section(1)['.rdata']	18	A	Closed temporary file %s
16536	003a1394	007a1394	Section(1)['.rdata']	1c	A	  Ss=%d, Se=%d, Ah=%d, Al=%d
16537	003a13b4	007a13b4	Section(1)['.rdata']	1d	A	    Component %d: dc=%d ac=%d
16538	003a13d4	007a13d4	Section(1)['.rdata']	1c	A	Start Of Scan: %d components
16539	003a13f4	007a13f4	Section(1)['.rdata']	0e	A	Start of Image
16540	003a1404	007a1404	Section(1)['.rdata']	1e	A	    Component %d: %dhx%dv q=%d
16541	003a1424	007a1424	Section(1)['.rdata']	39	A	Start Of Frame 0x%02x: width=%u, height=%u, components=%d
16542	003a1460	007a1460	Section(1)['.rdata']	38	A	Smoothing not supported with nonstandard sampling ratios
16543	003a149c	007a149c	Section(1)['.rdata']	05	A	RST%d
16544	003a14a4	007a14a4	Section(1)['.rdata']	24	A	At marker 0x%02x, recovery action %d
16545	003a14cc	007a14cc	Section(1)['.rdata']	23	A	Selected %d colors for quantization
16546	003a14f0	007a14f0	Section(1)['.rdata']	17	A	Quantizing to %d colors
16547	003a1508	007a1508	Section(1)['.rdata']	22	A	Quantizing to %d = %d*%d*%d colors
16548	003a152c	007a152c	Section(1)['.rdata']	27	A	        %4u %4u %4u %4u %4u %4u %4u %4u
16549	003a1554	007a1554	Section(1)['.rdata']	18	A	Unexpected marker 0x%02x
16550	003a1570	007a1570	Section(1)['.rdata']	26	A	Miscellaneous marker 0x%02x, length %u
16551	003a1598	007a1598	Section(1)['.rdata']	20	A	    with %d x %d thumbnail image
16552	003a15bc	007a15bc	Section(1)['.rdata']	2d	A	JFIF extension marker: type 0x%02x, length %u
16553	003a15ec	007a15ec	Section(1)['.rdata']	3b	A	Warning: thumbnail image size does not match data length %u
16554	003a1628	007a1628	Section(1)['.rdata']	34	A	JFIF APP0 marker: version %d.%02d, density %dx%d  %d
16555	003a1660	007a1660	Section(1)['.rdata']	27	A	        %3d %3d %3d %3d %3d %3d %3d %3d
16556	003a1688	007a1688	Section(1)['.rdata']	0c	A	End Of Image
16557	003a1698	007a1698	Section(1)['.rdata']	16	A	Obtained EMS handle %u
16558	003a16b0	007a16b0	Section(1)['.rdata']	13	A	Freed EMS handle %u
16559	003a16c4	007a16c4	Section(1)['.rdata']	1a	A	Define Restart Interval %u
16560	003a16e0	007a16e0	Section(1)['.rdata']	2a	A	Define Quantization Table %d  precision %d
16561	003a170c	007a170c	Section(1)['.rdata']	1b	A	Define Huffman Table 0x%02x
16562	003a1728	007a1728	Section(1)['.rdata']	26	A	Define Arithmetic Table 0x%02x: 0x%02x
16563	003a1750	007a1750	Section(1)['.rdata']	2b	A	Unknown APP14 marker (not Adobe), length %u
16564	003a177c	007a177c	Section(1)['.rdata']	29	A	Unknown APP0 marker (not JFIF), length %u
16565	003a17a8	007a17a8	Section(1)['.rdata']	41	A	Adobe APP14 marker: version %d, flags 0x%04x 0x%04x, transform %d
16566	003a17ec	007a17ec	Section(1)['.rdata']	3d	A	Caution: quantization tables are too coarse for baseline JPEG
16567	003a182c	007a182c	Section(1)['.rdata']	0f	A	6b  27-Mar-1998
16568	003a183c	007a183c	Section(1)['.rdata']	22	A	Copyright (C) 1998, Thomas G. Lane
16569	003a1860	007a1860	Section(1)['.rdata']	13	A	Write to XMS failed
16570	003a1874	007a1874	Section(1)['.rdata']	14	A	Read from XMS failed
16571	003a188c	007a188c	Section(1)['.rdata']	26	A	Image too wide for this implementation
16572	003a18b4	007a18b4	Section(1)['.rdata']	22	A	Virtual array controller messed up
16573	003a18d8	007a18d8	Section(1)['.rdata']	1e	A	Unsupported marker type 0x%02x
16574	003a18f8	007a18f8	Section(1)['.rdata']	29	A	Application transferred too few scanlines
16575	003a1924	007a1924	Section(1)['.rdata']	35	A	Write failed on temporary file --- out of disk space?
16576	003a195c	007a195c	Section(1)['.rdata']	1d	A	Seek failed on temporary file
16577	003a197c	007a197c	Section(1)['.rdata']	1d	A	Read failed on temporary file
16578	003a199c	007a199c	Section(1)['.rdata']	22	A	Failed to create temporary file %s
16579	003a19c0	007a19c0	Section(1)['.rdata']	2b	A	Invalid JPEG file structure: SOS before SOF
16580	003a19ec	007a19ec	Section(1)['.rdata']	2c	A	Invalid JPEG file structure: two SOI markers
16581	003a1a1c	007a1a1c	Section(1)['.rdata']	29	A	Unsupported JPEG process: SOF type 0x%02x
16582	003a1a48	007a1a48	Section(1)['.rdata']	2f	A	Invalid JPEG file structure: missing SOS marker
16583	003a1a78	007a1a78	Section(1)['.rdata']	2c	A	Invalid JPEG file structure: two SOF markers
16584	003a1aa8	007a1aa8	Section(1)['.rdata']	26	A	Cannot quantize to more than %d colors
16585	003a1ad0	007a1ad0	Section(1)['.rdata']	27	A	Cannot quantize to fewer than %d colors
16586	003a1af8	007a1af8	Section(1)['.rdata']	2d	A	Cannot quantize more than %d color components
16587	003a1b28	007a1b28	Section(1)['.rdata']	1d	A	Insufficient memory (case %d)
16588	003a1b48	007a1b48	Section(1)['.rdata']	2a	A	Not a JPEG file: starts with 0x%02x 0x%02x
16589	003a1b74	007a1b74	Section(1)['.rdata']	29	A	Quantization table 0x%02x was not defined
16590	003a1ba0	007a1ba0	Section(1)['.rdata']	21	A	JPEG datastream contains no image
16591	003a1bc4	007a1bc4	Section(1)['.rdata']	24	A	Huffman table 0x%02x was not defined
16592	003a1bec	007a1bec	Section(1)['.rdata']	1b	A	Backing store not supported
16593	003a1c08	007a1c08	Section(1)['.rdata']	2d	A	Requested feature was omitted at compile time
16594	003a1c38	007a1c38	Section(1)['.rdata']	13	A	Not implemented yet
16595	003a1c4c	007a1c4c	Section(1)['.rdata']	26	A	Invalid color quantization mode change
16596	003a1c74	007a1c74	Section(1)['.rdata']	26	A	Scan script does not transmit all data
16597	003a1c9c	007a1c9c	Section(1)['.rdata']	3d	A	Cannot transcode due to multiple use of quantization table %d
16598	003a1cdc	007a1cdc	Section(1)['.rdata']	1b	A	Premature end of input file
16599	003a1cf8	007a1cf8	Section(1)['.rdata']	10	A	Empty input file
16600	003a1d0c	007a1d0c	Section(1)['.rdata']	2e	A	Maximum supported image dimension is %u pixels
16601	003a1d3c	007a1d3c	Section(1)['.rdata']	20	A	Missing Huffman code table entry
16602	003a1d60	007a1d60	Section(1)['.rdata']	20	A	Huffman code size table overflow
16603	003a1d84	007a1d84	Section(1)['.rdata']	27	A	Fractional sampling not implemented yet
16604	003a1dac	007a1dac	Section(1)['.rdata']	2e	A	Output file write error --- out of disk space?
16605	003a1ddc	007a1ddc	Section(1)['.rdata']	15	A	Input file read error
16606	003a1df4	007a1df4	Section(1)['.rdata']	20	A	Didn't expect more than one scan
16607	003a1e18	007a1e18	Section(1)['.rdata']	13	A	Write to EMS failed
16608	003a1e2c	007a1e2c	Section(1)['.rdata']	14	A	Read from EMS failed
16609	003a1e44	007a1e44	Section(1)['.rdata']	24	A	Empty JPEG image (DNL not supported)
16610	003a1e6c	007a1e6c	Section(1)['.rdata']	12	A	Bogus DQT index %d
16611	003a1e80	007a1e80	Section(1)['.rdata']	12	A	Bogus DHT index %d
16612	003a1e94	007a1e94	Section(1)['.rdata']	14	A	Bogus DAC value 0x%x
16613	003a1eac	007a1eac	Section(1)['.rdata']	12	A	Bogus DAC index %d
16614	003a1ec0	007a1ec0	Section(1)['.rdata']	24	A	Unsupported color conversion request
16615	003a1ee8	007a1ee8	Section(1)['.rdata']	25	A	Too many color components: %d, max %d
16616	003a1f10	007a1f10	Section(1)['.rdata']	24	A	CCIR601 sampling not implemented yet
16617	003a1f38	007a1f38	Section(1)['.rdata']	1b	A	Suspension not allowed here
16618	003a1f54	007a1f54	Section(1)['.rdata']	2a	A	Buffer passed to JPEG library is too small
16619	003a1f80	007a1f80	Section(1)['.rdata']	1a	A	Bogus virtual array access
16620	003a1fa0	007a1fa0	Section(1)['.rdata']	4c	A	JPEG parameter struct mismatch: library thinks size is %u, caller expects %u
16621	003a1ff0	007a1ff0	Section(1)['.rdata']	29	A	Improper call to JPEG library in state %d
16622	003a201c	007a201c	Section(1)['.rdata']	1f	A	Invalid scan script at entry %d
16623	003a203c	007a203c	Section(1)['.rdata']	16	A	Bogus sampling factors
16624	003a2054	007a2054	Section(1)['.rdata']	36	A	Invalid progressive parameters at scan script entry %d
16625	003a208c	007a208c	Section(1)['.rdata']	36	A	Invalid progressive parameters Ss=%d Se=%d Ah=%d Al=%d
16626	003a20c4	007a20c4	Section(1)['.rdata']	22	A	Unsupported JPEG data precision %d
16627	003a20e8	007a20e8	Section(1)['.rdata']	1b	A	Invalid memory pool code %d
16628	003a2104	007a2104	Section(1)['.rdata']	2f	A	Sampling factors too large for interleaved scan
16629	003a2134	007a2134	Section(1)['.rdata']	3c	A	Wrong JPEG library version: library is %d, caller expects %d
16630	003a2174	007a2174	Section(1)['.rdata']	13	A	Bogus marker length
16631	003a2188	007a2188	Section(1)['.rdata']	15	A	Bogus JPEG colorspace
16632	003a21a0	007a21a0	Section(1)['.rdata']	16	A	Bogus input colorspace
16633	003a21b8	007a21b8	Section(1)['.rdata']	1e	A	Bogus Huffman table definition
16634	003a21d8	007a21d8	Section(1)['.rdata']	27	A	IDCT output block size %d not supported
16635	003a2200	007a2200	Section(1)['.rdata']	1c	A	DCT coefficient out of range
16636	003a2220	007a2220	Section(1)['.rdata']	1e	A	Invalid component ID %d in SOS
16637	003a2240	007a2240	Section(1)['.rdata']	19	A	Bogus buffer control mode
16638	003a225c	007a225c	Section(1)['.rdata']	24	A	MAX_ALLOC_CHUNK is wrong, please fix
16639	003a2284	007a2284	Section(1)['.rdata']	1f	A	ALIGN_TYPE is wrong, please fix
16640	003a22a4	007a22a4	Section(1)['.rdata']	38	A	Sorry, there are legal restrictions on arithmetic coding
16641	003a22e0	007a22e0	Section(1)['.rdata']	15	A	Bogus message code %d
16642	003a24ec	007a24ec	Section(1)['.rdata']	12	A	Unknown zlib error
16643	003a2500	007a2500	Section(1)['.rdata']	12	A	zlib version error
16644	003a2514	007a2514	Section(1)['.rdata']	11	A	zlib memory error
16645	003a2528	007a2528	Section(1)['.rdata']	05	A	1.2.3
16646	003a2530	007a2530	Section(1)['.rdata']	18	A	Missing PLTE before IDAT
16647	003a254c	007a254c	Section(1)['.rdata']	18	A	Missing IHDR before IDAT
16648	003a2568	007a2568	Section(1)['.rdata']	26	A	PNG file corrupted by ASCII conversion
16649	003a2590	007a2590	Section(1)['.rdata']	0e	A	Not a PNG file
16650	003a25a0	007a25a0	Section(1)['.rdata']	46	A	Ignoring extra png_read_update_info() call; row buffer not reallocated
16651	003a25e8	007a25e8	Section(1)['.rdata']	15	A	Extra compressed data
16652	003a2600	007a2600	Section(1)['.rdata']	13	A	Decompression error
16653	003a2614	007a2614	Section(1)['.rdata']	15	A	Not enough image data
16654	003a262c	007a262c	Section(1)['.rdata']	20	A	Invalid attempt to read row data
16655	003a2650	007a2650	Section(1)['.rdata']	15	A	Too many IDAT's found
16656	003a2668	007a2668	Section(1)['.rdata']	30	A	Application must supply a known background gamma
16657	003a26a7	007a26a7	Section(1)['.rdata']	22	A	>png_do_dither returned rowbytes=0
16658	003a26cc	007a26cc	Section(1)['.rdata']	26	A	png_do_rgb_to_gray found nongray pixel
16659	003a26f4	007a26f4	Section(1)['.rdata']	24	A	NULL row buffer for row %ld, pass %d
16660	003a271c	007a271c	Section(1)['.rdata']	31	A	Width too large for libpng to process image data.
16661	003a2750	007a2750	Section(1)['.rdata']	14	A	Invalid image height
16662	003a2768	007a2768	Section(1)['.rdata']	13	A	Invalid image width
16663	003a277c	007a277c	Section(1)['.rdata']	12	A	Invalid color type
16664	003a2790	007a2790	Section(1)['.rdata']	11	A	Invalid bit depth
16665	003a27a4	007a27a4	Section(1)['.rdata']	1a	A	Call to NULL read function
16666	003a27c0	007a27c0	Section(1)['.rdata']	0a	A	Read Error
16667	003a27cc	007a27cc	Section(1)['.rdata']	31	A	same structure.  Resetting write_data_fn to NULL.
16668	003a2800	007a2800	Section(1)['.rdata']	40	A	It's an error to set both read_data_fn and write_data_fn in the 
16669	003a2ac7	007a2ac7	Section(1)['.rdata']	32	A	%&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz
16670	003a2b83	007a2b83	Section(1)['.rdata']	2f	A	&'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz
16671	003a2d60	007a2d60	Section(1)['.rdata']	3f	A	Unable to create a temporary file; robustTmpfile returning NULL
16672	003a2da4	007a2da4	Section(1)['.rdata']	05	A	tmp%d
16673	003a2db4	007a2db4	Section(1)['.rdata']	08	A	%s/tmp%d
16674	003a2ddb	007a2ddb	Section(1)['.rdata']	1c	A	AUnknown compression type %d
16675	003a2df8	007a2df8	Section(1)['.rdata']	37	A	Ignoring request to write a PLTE chunk in grayscale PNG
16676	003a2e30	007a2e30	Section(1)['.rdata']	23	A	Invalid number of colors in palette
16677	003a2e54	007a2e54	Section(1)['.rdata']	2d	A	Invalid number of histogram entries specified
16678	003a2e84	007a2e84	Section(1)['.rdata']	13	A	zero length keyword
16679	003a2e98	007a2e98	Section(1)['.rdata']	28	A	keyword length must be 1 - 79 characters
16680	003a2ec4	007a2ec4	Section(1)['.rdata']	13	A	Zero length keyword
16681	003a2ed8	007a2ed8	Section(1)['.rdata']	2a	A	extra interior spaces removed from keyword
16682	003a2f04	007a2f04	Section(1)['.rdata']	23	A	leading spaces removed from keyword
16683	003a2f28	007a2f28	Section(1)['.rdata']	24	A	trailing spaces removed from keyword
16684	003a2f50	007a2f50	Section(1)['.rdata']	20	A	invalid keyword character 0x%02X
16685	003a2f74	007a2f74	Section(1)['.rdata']	25	A	Out of memory while procesing keyword
16686	003a2f9c	007a2f9c	Section(1)['.rdata']	1b	A	Empty keyword in tEXt chunk
16687	003a2fb8	007a2fb8	Section(1)['.rdata']	1b	A	Empty keyword in zTXt chunk
16688	003a2fd4	007a2fd4	Section(1)['.rdata']	29	A	Unrecognized equation type for pCAL chunk
16689	003a3000	007a3000	Section(1)['.rdata']	07	A	%12.12e
16690	003a3008	007a3008	Section(1)['.rdata']	20	A	Invalid interlace type specified
16691	003a302c	007a302c	Section(1)['.rdata']	1d	A	Invalid filter type specified
16692	003a304c	007a304c	Section(1)['.rdata']	22	A	Invalid compression type specified
16693	003a3070	007a3070	Section(1)['.rdata']	22	A	Invalid image color type specified
16694	003a3094	007a3094	Section(1)['.rdata']	20	A	Invalid bit depth for RGBA image
16695	003a30b8	007a30b8	Section(1)['.rdata']	2b	A	Invalid bit depth for grayscale+alpha image
16696	003a30e4	007a30e4	Section(1)['.rdata']	24	A	Invalid bit depth for paletted image
16697	003a310c	007a310c	Section(1)['.rdata']	1f	A	Invalid bit depth for RGB image
16698	003a312c	007a312c	Section(1)['.rdata']	25	A	Invalid bit depth for grayscale image
16699	003a3154	007a3154	Section(1)['.rdata']	30	A	Invalid zlib compression method or flags in IDAT
16700	003a3188	007a3188	Section(1)['.rdata']	27	A	Invalid sRGB rendering intent specified
16701	003a31b0	007a31b0	Section(1)['.rdata']	1b	A	Empty keyword in iCCP chunk
16702	003a31cc	007a31cc	Section(1)['.rdata']	26	A	Unknown compression type in iCCP chunk
16703	003a31f4	007a31f4	Section(1)['.rdata']	1b	A	Empty keyword in sPLT chunk
16704	003a3210	007a3210	Section(1)['.rdata']	1c	A	Invalid sBIT depth specified
16705	003a3230	007a3230	Section(1)['.rdata']	16	A	white_x=%f, white_y=%f
16706	003a3248	007a3248	Section(1)['.rdata']	22	A	Invalid cHRM white point specified
16707	003a326c	007a326c	Section(1)['.rdata']	20	A	Invalid cHRM red point specified
16708	003a3290	007a3290	Section(1)['.rdata']	22	A	Invalid cHRM green point specified
16709	003a32b4	007a32b4	Section(1)['.rdata']	21	A	Invalid cHRM blue point specified
16710	003a32df	007a32df	Section(1)['.rdata']	27	A	?Can't write tRNS with an alpha channel
16711	003a3308	007a3308	Section(1)['.rdata']	3f	A	Ignoring attempt to write 16-bit tRNS chunk when bit_depth is 8
16712	003a3348	007a3348	Section(1)['.rdata']	3f	A	Ignoring attempt to write tRNS chunk out-of-range for bit_depth
16713	003a3388	007a3388	Section(1)['.rdata']	2e	A	Invalid number of transparent colors specified
16714	003a33b8	007a33b8	Section(1)['.rdata']	3f	A	Ignoring attempt to write bKGD chunk out-of-range for bit_depth
16715	003a33f8	007a33f8	Section(1)['.rdata']	3f	A	Ignoring attempt to write 16-bit bKGD chunk when bit_depth is 8
16716	003a3438	007a3438	Section(1)['.rdata']	20	A	Invalid background palette index
16717	003a345c	007a345c	Section(1)['.rdata']	25	A	Unrecognized unit type for oFFs chunk
16718	003a3484	007a3484	Section(1)['.rdata']	25	A	Unrecognized unit type for pHYs chunk
