Number	Offset	Address		Size	Type	String
14949	00386a14	00786a14	Section(1)['.rdata']	0d	A	WindowService
14950	00386a24	00786a24	Section(1)['.rdata']	06	A	Window
14951	00386a2c	00786a2c	Section(1)['.rdata']	09	A	NewWindow
14952	00386a38	00786a38	Section(1)['.rdata']	05	A	width
14953	00386a40	00786a40	Section(1)['.rdata']	06	A	height
14954	00386a48	00786a48	Section(1)['.rdata']	08	A	Navigate
14955	00386a58	00786a58	Section(1)['.rdata']	0b	A	about:blank
14956	00386a64	00786a64	Section(1)['.rdata']	07	A	SetBody
14957	00386a74	00786a74	Section(1)['.rdata']	0b	A	SetCallback
14958	00386a80	00786a80	Section(1)['.rdata']	08	A	function
14959	00386a8c	00786a8c	Section(1)['.rdata']	06	A	Resize
14960	00386aac	00786aac	Section(1)['.rdata']	06	A	object
14961	00386ab4	00786ab4	Section(1)['.rdata']	08	A	property
14962	00386ac0	00786ac0	Section(1)['.rdata']	0d	A	htmlElementId
14963	00386ad0	00786ad0	Section(1)['.rdata']	06	A	Unbind
14964	00386ad8	00786ad8	Section(1)['.rdata']	10	A	DocumentComplete
14965	00386bf0	00786bf0	Section(1)['.rdata']	0d	A	Insert Object
14966	00386c00	00786c00	Section(1)['.rdata']	1a	A	%s cannot be a child of %s
14967	00386c1c	00786c1c	Section(1)['.rdata']	0c	A	InsertObject
14968	00386c2c	00786c2c	Section(1)['.rdata']	09	A	ClassName
14969	00386c38	00786c38	Section(1)['.rdata']	13	A	CInsertObjectDialog
14970	00386de8	00786de8	Section(1)['.rdata']	11	A	CInstanceExplorer
14971	00387350	00787350	Section(1)['.rdata']	12	A	CSelectionTreeCtrl
14972	00387364	00787364	Section(1)['.rdata']	0f	A	CRobloxTreeCtrl
14973	003873d8	007873d8	Section(1)['.rdata']	0d	A	ImageList_Add
14974	003873e8	007873e8	Section(1)['.rdata']	13	A	ImageList_AddMasked
14975	003873fc	007873fc	Section(1)['.rdata']	13	A	ImageList_BeginDrag
14976	00387410	00787410	Section(1)['.rdata']	11	A	ImageList_EndDrag
14977	00387424	00787424	Section(1)['.rdata']	13	A	ImageList_DragEnter
14978	00387438	00787438	Section(1)['.rdata']	13	A	ImageList_DragLeave
14979	0038744c	0078744c	Section(1)['.rdata']	12	A	ImageList_DragMove
14980	00387460	00787460	Section(1)['.rdata']	18	A	ImageList_DragShowNolock
14981	003891c4	007891c4	Section(1)['.rdata']	06	A	_%s_%d
14982	003891d0	007891d0	Section(1)['.rdata']	44	A	An unexpected error occurred and ROBLOX needs to quit.  We're sorry!
14983	00389218	00789218	Section(1)['.rdata']	0c	A	ROBLOX Crash
14984	00389230	00789230	Section(1)['.rdata']	13	A	%s, GetLastError=%d
14985	0038926c	0078926c	Section(1)['.rdata']	05	A	\logs
14986	0038928c	0078928c	Section(1)['.rdata']	0f	A	Pure Call Error
14987	0038929c	0078929c	Section(1)['.rdata']	14	A	Assertion failed: %s
14988	003892b1	007892b1	Section(1)['.rdata']	06	A	%s(%d)
14989	003892b8	007892b8	Section(1)['.rdata']	14	A	Assertion failed: %s
14990	003892ce	007892ce	Section(1)['.rdata']	0b	A	Message: %s
14991	003892db	007892db	Section(1)['.rdata']	06	A	%s(%d)
14992	003892e4	007892e4	Section(1)['.rdata']	0d	A	G3D Error: %s
14993	003892f2	007892f2	Section(1)['.rdata']	06	A	%s(%d)
14994	003892fc	007892fc	Section(1)['.rdata']	0d	A	G3D Error: %s
14995	0038930b	0078930b	Section(1)['.rdata']	0b	A	Message: %s
14996	00389318	00789318	Section(1)['.rdata']	06	A	%s(%d)
14997	00389320	00789320	Section(1)['.rdata']	10	A	HRESULT = %d: %s
14998	00389331	00789331	Section(1)['.rdata']	06	A	%s(%d)
14999	00389338	00789338	Section(1)['.rdata']	05	A	*.dmp
15000	00389340	00789340	Section(1)['.rdata']	08	A	archive\
15001	0038934c	0078934c	Section(1)['.rdata']	06	A	error\
15002	00389363	00789363	Section(1)['.rdata']	0e	A	Unknown Error
15003	00389394	00789394	Section(1)['.rdata']	05	A	AdHoc
15004	003893a0	007893a0	Section(1)['.rdata']	12	A	TlsSetValue failed
15005	003893b4	007893b4	Section(1)['.rdata']	12	A	TLS_OUT_OF_INDEXES
15006	003893c8	007893c8	Section(1)['.rdata']	08	A	_G3D.txt
15007	003893d8	007893d8	Section(1)['.rdata']	0c	A	CLuaHtmlView
15008	00389508	00789508	Section(1)['.rdata']	28	A	The HtmlDocument does not contain a body
15009	00389534	00789534	Section(1)['.rdata']	1e	A	The HtmlDocument is not loaded
15010	00389554	00789554	Section(1)['.rdata']	2a	A	CLuaHtmlView failed to create CLuaFunction
15011	003897ac	007897ac	Section(1)['.rdata']	12	A	attachEvent failed
15012	003897c0	007897c0	Section(1)['.rdata']	08	A	onchange
15013	003897d4	007897d4	Section(1)['.rdata']	1a	A	%s is not an input element
15014	003897f0	007897f0	Section(1)['.rdata']	0c	A	%s not found
15015	00389848	00789848	Section(1)['.rdata']	1e	A	Invalid argument %d VT_TYPE=%d
15016	00389868	00789868	Section(1)['.rdata']	1d	A	CLuaFunction::Call failed, %s
15017	00389888	00789888	Section(1)['.rdata']	0c	A	CWrapperView
15018	00389898	00789898	Section(1)['.rdata']	10	A	MyXTPCommandBars
15019	003898ac	007898ac	Section(1)['.rdata']	0a	A	CMainFrame
15020	003899dc	007899dc	Section(1)['.rdata']	0c	A	CMainFrameV2
15021	00389b80	00789b80	Section(1)['.rdata']	06	A	VAR %s
15022	00389b88	00789b88	Section(1)['.rdata']	06	A	TEX %s
15023	00389b90	00789b90	Section(1)['.rdata']	0a	A	%d threads
15024	00389baf	00789baf	Section(1)['.rdata']	31	A	AEnumDisplaySettings failed. GetLastError() == %d
15025	00389be8	00789be8	Section(1)['.rdata']	42	A	CMainFrameFrameWnd::getMonitorInfo MonitorFromWindow returned NULL
